1		Chassis	STRUCTURE GROUND
2	J17-9	In	MG ERROR
3	J10-17	In	MG C/A OR CAGE SIGNAL
4	J7-20	Out	MG SERVO AMPLIFIER INPUT HI
5	J6-20	Out	OG SERVO AMPLIFIER INPUT HI
6	J10-18	In	OG C/A OR CAGE SIGNAL
7	J17-8	In	OG ERROR
8	J19-B14	In	3200 CPS 28V 1 PCT LO
9	J2-4	In	800 CPS 28V 1 PCT LO
10	J8-22	Out	GIMBAL SERVO AMP DEMOD REF HI
11	J8-21	Out	GIMBAL SERVO AMP DEMOD REF LO
12	J2-9	In	800 CPS 28V 1 PCT HI
13	J19-A14	In	3200 CPS 28V 1 PCT HI
14	J17-10	In	0 VDC IMU
15	J19-H35	In	OG C/A HI
16	J19-G35	In	OG IMU CAGE HI
17	J10-3	Out	MG C/A OR CAGE SIGNAL
18	J10-6	Out	OG C/A OR CAGE SIGNAL
19	J19-F35	In	MG C/A HI
20	J19-D35	In	MG IMU CAGE HI
21	J8-15, J10-33	In	COARSE ALIGN COMMAND
22		NC	
23	J8-20	Out	IG SERVO AMPLIFIER INPUT HI
24		NC	
25	J10-27	In	IG C/A OR CAGE SIGNAL
26	J10-33, J19-B17	In	COARSE ALIGN COMMAND
27	J10-25	Out	IG C/A OR CAGE SIGNAL
28	J17-15	In	IMU CAGE SIGNAL
29	J19-C35	In	IG C/A HI
30	J17-25	In	0 VDC IMU
31		NC	
32		NC	
33	J10-26, J10-21	In	COARSE ALIGN COMMAND
34	J5-18	In	+28 VDC IMU OPERATE
35		NC	
36	J17-7, J19-K29	In	IG ERROR
37		NC	
38		NC	
39		NC	
40		NC	
41		NC	
42		NC	
43		NC	
44		NC	
45	J19-A21	Out	CAGE OVERRIDE TO CDU
46		NC	
47		NC	
48		NC	
49	J19-B21	In	CDU COMMON
50	J19-B35	In	IG IMU CAGE HI
51		NC	
