1		Chassis	STRUCTURE GROUND
2		Spare	
3		Spare	
4		Spare	
5	J8-5, J6-5	In	-28 VDC IMU
6		NC	
7	J19-B29	Out	MG TORQUE MOTOR CURRENT MONITOR
8	J19-B28	Out	MG TORQUE MOTOR LO
9	J6-9, J8-9, J19-G28	In	0 VDC IMU
10	J7-17	Out	MG SERVO AMPLIFIER FEEDBACK
11	J19-A29	Out	MG TORQUE MOTOR VOLTAGE MONITOR
12	J19-A28	Out	MG TORQUE MOTOR HI
13	J6-13, J8-13	In	+28 VDC IMU OPERATE
14		NC	
15	J6-15, J8-15	In	COARSE ALIGN COMMAND
16	J19-G30	In	MG SERVO AMP TEST INPUT
17	J7-10	In	MG SERVO AMPLIFIER FEEDBACK
18	J8-18, J6-18	In	0 VDC IMU
19	E6-2	In	0 VDC IMU
20	J10-4	In	MG SERVO AMPLIFIER INPUT HI
21	J6-21, J8-21	In	GIMBAL SERVO AMP DEMOD REF LO
22	J6-22, J8-22	In	GIMBAL SERVO AMP DEMOD REF HI
23	J19-H30	Out	MG ERROR MONITOR
