1		Chassis	STRUCTURE GROUND
2		Spare	
3		Spare	
4		Spare	
5	J7-5	In	-28 VDC IMU
6	J6-17	Out	OG SERVO AMPLIFIER FEEDBACK
7	J19-B31	Out	OG TORQUE MOTOR CURRENT MONITOR
8	J19-B30	Out	OG TORQUE MOTOR LO
9	J7-9	In	0 VDC IMU
10		NC	
11	J19-A31	Out	OG TORQUE MOTOR VOLTAGE MONITOR
12	J19-A30, J6-14	Out	OG TORQUE MOTOR HI
13	J7-13	In	+28 VDC IMU OPERATE
14	J6-12	In	OG TORQUE MOTOR HI
15	J7-15	In	COARSE ALIGN COMMAND
16	J19-G31	In	OG SERVO AMP TEST INPUT
17	J6-6	In	OG SERVO AMPLIFIER FEEDBACK
18	J7-18	In	0 VDC IMU
19	E5-2	In	0 VDC IMU
20	J10-5	In	OG SERVO AMPLIFIER INPUT HI
21	J7-21	In	GIMBAL SERVO AMP DEMOD REF LO
22	J7-22	In	GIMBAL SERVO AMP DEMOD REF HI
23	J19-H31	Out	OG ERROR MONITOR
