1		Chassis	STRUCTURE GROUND
2		Spare	
3		Spare	
4		Spare	
5	J14-12, J7-5	In	-28 VDC IMU
6		NC	
7	J19-B27	Out	IG TORQUE MOTOR CURRENT MONITOR
8	J19-B26, J8-17	Out	IG TORQUE MOTOR LO
9	J7-9, J5-40	In	0 VDC IMU
10		NC	
11	J19-A27	Out	IG TORQUE MOTOR VOLTAGE MONITOR
12	J19-A26	Out	IG TORQUE MOTOR HI
13	J5-15, J7-13	In	+28 VDC IMU OPERATE
14		NC	
15	J7-15, J10-21	In	COARSE ALIGN COMMAND
16	J19-G29	In	IG SERVO AMP TEST INPUT
17	J8-8	In	IG TORQUE MOTOR LO
18	J7-18, J5-41	In	0 VDC IMU
19	E7-2	In	0 VDC IMU
20	J10-23	In	IG SERVO AMPLIFIER INPUT HI
21	J7-21, J10-11	In	GIMBAL SERVO AMP DEMOD REF LO
22	J7-22, J10-10	In	GIMBAL SERVO AMP DEMOD REF HI
23	J19-H29	Out	IG ERROR MONITOR
